,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
49,57,OPD BLP,ZI,BARRANCA DEL MUERTO,ZAPOPAN,"""N 20° 44´ 06.1""""""","""W 103° 34´ 58.0""""""",DESCONOCIDA,22/03/2018,,,,,,4.3,,4.3,14
50,58,OPD BLP,ZI,LOS BAÑITOS ,TALA,"""N 20° 39´ 10.2""""""","""W 103° 40´ 53.2""""""",INTENCIONAL,22/03/2018,,,,,,5.4,,5.4,25
51,59,OPD BLP,ZI,MESA ANGOSTA,ZAPOPAN,"""N 20° 43´ 17.1""""""","""W 103° 32´ 42.1""""""",INTENCIONAL,25/03/2018,,0.7,,,,,,0.7,50
52,60,OPD BLP,ZI,CHORROS DE TALA,TALA,"""N 20° 41´ 37.2""""""","""W 103° 41´ 22.7""""""",INTENCIONAL,25/03/2018,,10.1,,,,,,10.1,40
53,61,OPD BLP,ZI,EL CALABUS,ZAPOPAN,"""N 20° 43´ 23.2""""""","""W 103° 33´ 31.2""""""",FOGATA,27/03/2018,0.5,,,,,,,0.5,28
54,62,OPD BLP,ZI,AMPLEACION DE SANTA CRUZ,EL ARENAL,"""N 20° 42´ 13.9""""""","""W 103° 39´ 17.8""""""",QUEMA AGRICOLA,27/03/2018,,,,,4,2.5,,6.5,39
55,63,OPD BLP,ZI,LOS BAÑITOS ,TALA,"""N 20° 39´ 08.9""""""","""W 103° 41´ 08.6""""""",INTENCIONAL,27/03/2018,,,,,,2.79,,2.79,19
56,64,OPD BLP,ZI,PINAR DE LA VENTA,ZAPOPAN,"""N 20° 44´ 7.0""""""","""W 103° 32´ 40.0""""""",INTENCIONAL,29/03/2018,,,,,,,,0,12
57,65,OPD BLP,ZP,SAN JOSE DE LA MONTANA ,ZAPOPAN,"""N 20° 37´ 49.4""""""","""W 103° 30´ 03.0""""""",INTENCIONAL,29/03/2018,1.68,,,,,,,1.68,50
58,66,OPD BLP,ZP,EL COLLI,ZAPOPAN,"""N 20° 38´ 59.4""""""","""W 103° 28´ 16.0""""""",INTENCIONAL,30/03/2018,,6,2.9,,,,,8.9,33
59,67,OPD BLP,ZI,EL BAJIO,ZAPOPAN,"""N 20° 41´ 46.7""""""","""W 103° 28´ 51.0""""""",QUEMA AGRICOLA,30/03/2018,,,,,,,,0,7
60,68,OPD BLP,ZP,LA SALA,ZAPOPAN,"""N 20° 36´ 43.0""""""","""W 103° 33´ 45.5""""""",QUEMA DE BASURA,30/03/2018,,0.56,,,,,,0.56,16
61,69,OPD BLP,ZI,LA TOMA DE VILLA,TALA,"""N 20° 39´ 14.4""""""","""W 103° 41´ 21.9""""""",INTENCIONAL,01/04/2018,,,,,,4.96,,4.96,22
62,70,OPD BLP,ZP,LA LOBERA,TALA,"""N 20° 37´ 13.0""""""","""W 103° 40´ 16.0""""""",QUEMA DE BASURA,01/04/2018,0.44,,,,,,,0.44,17
